city,spotify_link,spotify_web_link
Den Haag NL,spotify:user:thesoundsofspotify:playlist:2i1lQUNjc3Kbxl4XhpcqoF,http://open.spotify.com/user/thesoundsofspotify/playlist/2i1lQUNjc3Kbxl4XhpcqoF
Den Helder NL,spotify:user:thesoundsofspotify:playlist:4DxXAScJhmAxxScLkTTOlA,http://open.spotify.com/user/thesoundsofspotify/playlist/4DxXAScJhmAxxScLkTTOlA
Denizli TR,spotify:user:thesoundsofspotify:playlist:3CPpUYBXQBS0C0BQXsRC34,http://open.spotify.com/user/thesoundsofspotify/playlist/3CPpUYBXQBS0C0BQXsRC34
Denmark,spotify:user:thesoundsofspotify:playlist:7c0IjW5MmngEjLm9ii7LeT,http://open.spotify.com/user/thesoundsofspotify/playlist/7c0IjW5MmngEjLm9ii7LeT
Denpasar ID,spotify:user:thesoundsofspotify:playlist:2rzUv1f5UK2VEv39RMTjP9,http://open.spotify.com/user/thesoundsofspotify/playlist/2rzUv1f5UK2VEv39RMTjP9
Denver Colorado US,spotify:user:thesoundsofspotify:playlist:4EVnKjHxMesvcl7MyVLunQ,http://open.spotify.com/user/thesoundsofspotify/playlist/4EVnKjHxMesvcl7MyVLunQ
Derby GB,spotify:user:thesoundsofspotify:playlist:6SasSwR3W29IetlI9hZgLc,http://open.spotify.com/user/thesoundsofspotify/playlist/6SasSwR3W29IetlI9hZgLc
Des Moines Iowa US,spotify:user:thesoundsofspotify:playlist:0nAxcvUmADzpdOqjmuEWwV,http://open.spotify.com/user/thesoundsofspotify/playlist/0nAxcvUmADzpdOqjmuEWwV
Detroit Michigan US,spotify:user:thesoundsofspotify:playlist:3JCBPwsE24EuNiRMu4vKJE,http://open.spotify.com/user/thesoundsofspotify/playlist/3JCBPwsE24EuNiRMu4vKJE
Deventer NL,spotify:user:thesoundsofspotify:playlist:0S5wqiIfH1HrXlW8EctoTz,http://open.spotify.com/user/thesoundsofspotify/playlist/0S5wqiIfH1HrXlW8EctoTz
Diadema BR,spotify:user:thesoundsofspotify:playlist:0rcN9KG5uhvynqqmGylTRR,http://open.spotify.com/user/thesoundsofspotify/playlist/0rcN9KG5uhvynqqmGylTRR
Diemen NL,spotify:user:thesoundsofspotify:playlist:3oxLhO5StvWNYO54xXbAoD,http://open.spotify.com/user/thesoundsofspotify/playlist/3oxLhO5StvWNYO54xXbAoD
Dijon FR,spotify:user:thesoundsofspotify:playlist:4seqGk7ccTktNuF1Ez50qB,http://open.spotify.com/user/thesoundsofspotify/playlist/4seqGk7ccTktNuF1Ez50qB
Dinslaken DE,spotify:user:thesoundsofspotify:playlist:2Iielf9hu9xNvE97LaL5Hw,http://open.spotify.com/user/thesoundsofspotify/playlist/2Iielf9hu9xNvE97LaL5Hw
District Heights Maryland US,spotify:user:thesoundsofspotify:playlist:5zux76APnWkV5Kt2q0I9hQ,http://open.spotify.com/user/thesoundsofspotify/playlist/5zux76APnWkV5Kt2q0I9hQ
Divinópolis BR,spotify:user:thesoundsofspotify:playlist:0BwTi4LRkF6g45pk41WpfL,http://open.spotify.com/user/thesoundsofspotify/playlist/0BwTi4LRkF6g45pk41WpfL
Docklands AU,spotify:user:thesoundsofspotify:playlist:7DGItEHtgEqfLhkzfTqf4c,http://open.spotify.com/user/thesoundsofspotify/playlist/7DGItEHtgEqfLhkzfTqf4c
Doetinchem NL,spotify:user:thesoundsofspotify:playlist:70m7fX4inTrmABkI8nbTWM,http://open.spotify.com/user/thesoundsofspotify/playlist/70m7fX4inTrmABkI8nbTWM
Don Bosco PH,spotify:user:thesoundsofspotify:playlist:6fDlIPmEqVPvFjHvQaaHab,http://open.spotify.com/user/thesoundsofspotify/playlist/6fDlIPmEqVPvFjHvQaaHab
Don Torcuato AR,spotify:user:thesoundsofspotify:playlist:32a8x0T4WpnT2HZXKHwnXI,http://open.spotify.com/user/thesoundsofspotify/playlist/32a8x0T4WpnT2HZXKHwnXI
Doncaster GB,spotify:user:thesoundsofspotify:playlist:2iJswz8d3eQQwk2DwsW9ml,http://open.spotify.com/user/thesoundsofspotify/playlist/2iJswz8d3eQQwk2DwsW9ml
Dorado Puerto Rico US,spotify:user:thesoundsofspotify:playlist:7odErwSbmSica8vkWmXhW0,http://open.spotify.com/user/thesoundsofspotify/playlist/7odErwSbmSica8vkWmXhW0
Dordrecht NL,spotify:user:thesoundsofspotify:playlist:5ILeJUo9AjIbWVuoOn3BPQ,http://open.spotify.com/user/thesoundsofspotify/playlist/5ILeJUo9AjIbWVuoOn3BPQ
Dortmund DE,spotify:user:thesoundsofspotify:playlist:7HwS0dWebnXyOnm4LaaiiV,http://open.spotify.com/user/thesoundsofspotify/playlist/7HwS0dWebnXyOnm4LaaiiV
Dos Hermanas ES,spotify:user:thesoundsofspotify:playlist:0Qi5fkfBwnuDj8hQVsmcNS,http://open.spotify.com/user/thesoundsofspotify/playlist/0Qi5fkfBwnuDj8hQVsmcNS
Dourados BR,spotify:user:thesoundsofspotify:playlist:0C92o10UGjyP6R1VBThJZ0,http://open.spotify.com/user/thesoundsofspotify/playlist/0C92o10UGjyP6R1VBThJZ0
Downey California US,spotify:user:thesoundsofspotify:playlist:6zYRumD8dqmeCyz6oTdo6t,http://open.spotify.com/user/thesoundsofspotify/playlist/6zYRumD8dqmeCyz6oTdo6t
Doylestown Pennsylvania US,spotify:user:thesoundsofspotify:playlist:5n0C4W71Pu7ApCx1NSs2NN,http://open.spotify.com/user/thesoundsofspotify/playlist/5n0C4W71Pu7ApCx1NSs2NN
Drachten NL,spotify:user:thesoundsofspotify:playlist:6WYoyvqRUYMOqEc9gTaEeS,http://open.spotify.com/user/thesoundsofspotify/playlist/6WYoyvqRUYMOqEc9gTaEeS
Drammen NO,spotify:user:thesoundsofspotify:playlist:0Zb2KBT9x9z1tgNGMhu9rN,http://open.spotify.com/user/thesoundsofspotify/playlist/0Zb2KBT9x9z1tgNGMhu9rN
Drancy FR,spotify:user:thesoundsofspotify:playlist:3QMS63sdPUuPQrdueYfWWC,http://open.spotify.com/user/thesoundsofspotify/playlist/3QMS63sdPUuPQrdueYfWWC
Dreieich DE,spotify:user:thesoundsofspotify:playlist:3EHBPcJQYiQyqas6zjg5VE,http://open.spotify.com/user/thesoundsofspotify/playlist/3EHBPcJQYiQyqas6zjg5VE
Dresden DE,spotify:user:thesoundsofspotify:playlist:41DTWlPJs4ELtaTx4HuS1R,http://open.spotify.com/user/thesoundsofspotify/playlist/41DTWlPJs4ELtaTx4HuS1R
Drummoyne AU,spotify:user:thesoundsofspotify:playlist:3M0ZLK0MV0dpz1n6kfdXin,http://open.spotify.com/user/thesoundsofspotify/playlist/3M0ZLK0MV0dpz1n6kfdXin
Duarte California US,spotify:user:thesoundsofspotify:playlist:4U2bgokE1r0Ov1mpr6mgJT,http://open.spotify.com/user/thesoundsofspotify/playlist/4U2bgokE1r0Ov1mpr6mgJT
Dubai AE,spotify:user:thesoundsofspotify:playlist:2a0z7nWxmRPSnVzRCqQESU,http://open.spotify.com/user/thesoundsofspotify/playlist/2a0z7nWxmRPSnVzRCqQESU
Dublin California US,spotify:user:thesoundsofspotify:playlist:7dLir6TEIMCRa93PdvrEod,http://open.spotify.com/user/thesoundsofspotify/playlist/7dLir6TEIMCRa93PdvrEod
Dublin IE,spotify:user:thesoundsofspotify:playlist:1n0W8NFV4OQBXCU9oZF4eX,http://open.spotify.com/user/thesoundsofspotify/playlist/1n0W8NFV4OQBXCU9oZF4eX
Duisburg DE,spotify:user:thesoundsofspotify:playlist:36sv3XQg3o9h0RcqmtP87w,http://open.spotify.com/user/thesoundsofspotify/playlist/36sv3XQg3o9h0RcqmtP87w
Duluth Georgia US,spotify:user:thesoundsofspotify:playlist:1ES5W9Z9X0o3yA9E5rYxV1,http://open.spotify.com/user/thesoundsofspotify/playlist/1ES5W9Z9X0o3yA9E5rYxV1
Dulwich Hill AU,spotify:user:thesoundsofspotify:playlist:4LloD9fUOWzyS6XnvAWsps,http://open.spotify.com/user/thesoundsofspotify/playlist/4LloD9fUOWzyS6XnvAWsps
Dundee GB,spotify:user:thesoundsofspotify:playlist:0c9x2tuEXF4T1um3rKd4oT,http://open.spotify.com/user/thesoundsofspotify/playlist/0c9x2tuEXF4T1um3rKd4oT
Dunedin NZ,spotify:user:thesoundsofspotify:playlist:0MIYmuHnh5Gb6cxT1Pah7k,http://open.spotify.com/user/thesoundsofspotify/playlist/0MIYmuHnh5Gb6cxT1Pah7k
Dunfermline GB,spotify:user:thesoundsofspotify:playlist:6GqBxD3NrLugmN3Blyp108,http://open.spotify.com/user/thesoundsofspotify/playlist/6GqBxD3NrLugmN3Blyp108
Duque De Caxias BR,spotify:user:thesoundsofspotify:playlist:2wMouzgMkb9yVhtP1nMsF8,http://open.spotify.com/user/thesoundsofspotify/playlist/2wMouzgMkb9yVhtP1nMsF8
Durango MX,spotify:user:thesoundsofspotify:playlist:2dRsRSx17wzWYjDe407wfS,http://open.spotify.com/user/thesoundsofspotify/playlist/2dRsRSx17wzWYjDe407wfS
Durham GB,spotify:user:thesoundsofspotify:playlist:5acqrVFsYtSeyJNZcXgsRK,http://open.spotify.com/user/thesoundsofspotify/playlist/5acqrVFsYtSeyJNZcXgsRK
Durham North Carolina US,spotify:user:thesoundsofspotify:playlist:643vCKUXSZPY1gKuKsCAY6,http://open.spotify.com/user/thesoundsofspotify/playlist/643vCKUXSZPY1gKuKsCAY6
Düsseldorf DE,spotify:user:thesoundsofspotify:playlist:4qUo662D5AHrpH2ulGVzU5,http://open.spotify.com/user/thesoundsofspotify/playlist/4qUo662D5AHrpH2ulGVzU5
East Brisbane AU,spotify:user:thesoundsofspotify:playlist:3h1FLntGstmG3teChLoXey,http://open.spotify.com/user/thesoundsofspotify/playlist/3h1FLntGstmG3teChLoXey
East Lansing Michigan US,spotify:user:thesoundsofspotify:playlist:24ODYtpyrnEKqxO8v0IT4t,http://open.spotify.com/user/thesoundsofspotify/playlist/24ODYtpyrnEKqxO8v0IT4t
East Perth AU,spotify:user:thesoundsofspotify:playlist:35BgmpVBRVTioWkaTmF6Zl,http://open.spotify.com/user/thesoundsofspotify/playlist/35BgmpVBRVTioWkaTmF6Zl
East Rembo PH,spotify:user:thesoundsofspotify:playlist:39VrJmQ3NPTnp12uG2B5b1,http://open.spotify.com/user/thesoundsofspotify/playlist/39VrJmQ3NPTnp12uG2B5b1
Easton Pennsylvania US,spotify:user:thesoundsofspotify:playlist:47x86053ead36Tv39OPQ7Q,http://open.spotify.com/user/thesoundsofspotify/playlist/47x86053ead36Tv39OPQ7Q
Ecatepec De Morelos MX,spotify:user:thesoundsofspotify:playlist:4tTz06SbIhKk6XjO85NIFt,http://open.spotify.com/user/thesoundsofspotify/playlist/4tTz06SbIhKk6XjO85NIFt
Ecatepec MX,spotify:user:thesoundsofspotify:playlist:2B0Op0l0rzjJI6OSb6YMbH,http://open.spotify.com/user/thesoundsofspotify/playlist/2B0Op0l0rzjJI6OSb6YMbH
Ecuador,spotify:user:thesoundsofspotify:playlist:4E34NzKniK1FSSu33ZbVCS,http://open.spotify.com/user/thesoundsofspotify/playlist/4E34NzKniK1FSSu33ZbVCS
Ede NL,spotify:user:thesoundsofspotify:playlist:7I7ibycsm404LzOnvauYUz,http://open.spotify.com/user/thesoundsofspotify/playlist/7I7ibycsm404LzOnvauYUz
Edgware GB,spotify:user:thesoundsofspotify:playlist:7n5YrtNywAAXAk6m1K0SIC,http://open.spotify.com/user/thesoundsofspotify/playlist/7n5YrtNywAAXAk6m1K0SIC
Edinburgh GB,spotify:user:thesoundsofspotify:playlist:59mVtaEYToEQ9AToHqB0db,http://open.spotify.com/user/thesoundsofspotify/playlist/59mVtaEYToEQ9AToHqB0db
Edmonton CA,spotify:user:thesoundsofspotify:playlist:48KS2RCXXqStC5H4miqKF0,http://open.spotify.com/user/thesoundsofspotify/playlist/48KS2RCXXqStC5H4miqKF0
Egersund NO,spotify:user:thesoundsofspotify:playlist:2jGsczV1xBrsr7HEWnTumk,http://open.spotify.com/user/thesoundsofspotify/playlist/2jGsczV1xBrsr7HEWnTumk
Egypt,spotify:user:thesoundsofspotify:playlist:3dM8mbIAa94xP71GdAWfPD,http://open.spotify.com/user/thesoundsofspotify/playlist/3dM8mbIAa94xP71GdAWfPD
Eindhoven NL,spotify:user:thesoundsofspotify:playlist:0j8IVhdEAObpUmTEo3jODk,http://open.spotify.com/user/thesoundsofspotify/playlist/0j8IVhdEAObpUmTEo3jODk
Ekerö SE,spotify:user:thesoundsofspotify:playlist:7B6rLZmeqiWiiC8lsKZ0AN,http://open.spotify.com/user/thesoundsofspotify/playlist/7B6rLZmeqiWiiC8lsKZ0AN
Eksjö SE,spotify:user:thesoundsofspotify:playlist:17SQnspNxLsj7S3v7apAVI,http://open.spotify.com/user/thesoundsofspotify/playlist/17SQnspNxLsj7S3v7apAVI
El Monte California US,spotify:user:thesoundsofspotify:playlist:1P7IDTXtERhd0MOh2VWtwD,http://open.spotify.com/user/thesoundsofspotify/playlist/1P7IDTXtERhd0MOh2VWtwD
El Paso Texas US,spotify:user:thesoundsofspotify:playlist:6qrHBQlFZUVCEAAG5zcRcs,http://open.spotify.com/user/thesoundsofspotify/playlist/6qrHBQlFZUVCEAAG5zcRcs
El Puerto De Santa María ES,spotify:user:thesoundsofspotify:playlist:39hu3wd3550aKEUHgIog18,http://open.spotify.com/user/thesoundsofspotify/playlist/39hu3wd3550aKEUHgIog18
El Salvador,spotify:user:thesoundsofspotify:playlist:5cgHq0FJENtKQq1GlGtt8c,http://open.spotify.com/user/thesoundsofspotify/playlist/5cgHq0FJENtKQq1GlGtt8c
Elche ES,spotify:user:thesoundsofspotify:playlist:5XMW3mmraDo4jaVR36Jwvl,http://open.spotify.com/user/thesoundsofspotify/playlist/5XMW3mmraDo4jaVR36Jwvl
Elizabeth New Jersey US,spotify:user:thesoundsofspotify:playlist:6PbusiwYVGkXSZ6OdR2v90,http://open.spotify.com/user/thesoundsofspotify/playlist/6PbusiwYVGkXSZ6OdR2v90
Elk Grove California US,spotify:user:thesoundsofspotify:playlist:0jvgA4vxJ3AtmOx3WHSN2Z,http://open.spotify.com/user/thesoundsofspotify/playlist/0jvgA4vxJ3AtmOx3WHSN2Z
Elkton Maryland US,spotify:user:thesoundsofspotify:playlist:0jTSDKdjai6uvX9hHybAsL,http://open.spotify.com/user/thesoundsofspotify/playlist/0jTSDKdjai6uvX9hHybAsL
Elmhurst Illinois US,spotify:user:thesoundsofspotify:playlist:3i3vHs26vj5oHQk66b3UTb,http://open.spotify.com/user/thesoundsofspotify/playlist/3i3vHs26vj5oHQk66b3UTb
